Date,Hour,load,zone
1/3/2017,5:00,3897,PSEI
1/3/2017,5:00,10021,SCE
1/3/2017,5:00,1978,SDGE
1/3/2017,5:00,78,VEA
1/3/2017,6:00,3591,AZPS
1/3/2017,6:00,24406,CA ISO
1/3/2017,6:00,3825,NEVP
1/3/2017,6:00,5815,PACE
1/3/2017,6:00,3467,PACW
1/3/2017,6:00,10983,PGE
1/3/2017,6:00,4339,PSEI
1/3/2017,6:00,11077,SCE
1/3/2017,6:00,2262,SDGE
1/3/2017,6:00,84,VEA
1/3/2017,7:00,3521,AZPS
1/3/2017,7:00,26054,CA ISO
1/3/2017,7:00,3887,NEVP
1/3/2017,7:00,5891,PACE
1/3/2017,7:00,3693,PACW
1/3/2017,7:00,11906,PGE
1/3/2017,7:00,4620,PSEI
1/3/2017,7:00,11647,SCE
1/3/2017,7:00,2414,SDGE
1/3/2017,7:00,87,VEA
1/3/2017,8:00,3334,AZPS
1/3/2017,8:00,26643,CA ISO
1/3/2017,8:00,3867,NEVP
1/3/2017,8:00,5917,PACE
1/3/2017,8:00,3700,PACW
1/3/2017,8:00,12189,PGE
1/3/2017,8:00,4623,PSEI
1/3/2017,8:00,11957,SCE
1/3/2017,8:00,2412,SDGE
1/3/2017,8:00,85,VEA
1/3/2017,9:00,3183,AZPS
1/3/2017,9:00,26780,CA ISO
1/3/2017,9:00,3855,NEVP
1/3/2017,9:00,5911,PACE
1/3/2017,9:00,3661,PACW
1/3/2017,9:00,12296,PGE
1/3/2017,9:00,4506,PSEI
1/3/2017,9:00,12029,SCE
1/3/2017,9:00,2373,SDGE
1/3/2017,9:00,82,VEA
1/3/2017,10:00,2980,AZPS
1/3/2017,10:00,26828,CA ISO
1/3/2017,10:00,3839,NEVP
1/3/2017,10:00,5851,PACE
1/3/2017,10:00,3611,PACW
1/3/2017,10:00,12312,PGE
1/3/2017,10:00,4372,PSEI
1/3/2017,10:00,12007,SCE
1/3/2017,10:00,2431,SDGE
1/3/2017,10:00,78,VEA
1/3/2017,11:00,2857,AZPS
1/3/2017,11:00,26715,CA ISO
1/3/2017,11:00,3826,NEVP
1/3/2017,11:00,5789,PACE
1/3/2017,11:00,3533,PACW
1/3/2017,11:00,12207,PGE
1/3/2017,11:00,4237,PSEI
1/3/2017,11:00,11975,SCE
1/3/2017,11:00,2460,SDGE
1/3/2017,11:00,73,VEA
1/3/2017,12:00,2793,AZPS
1/3/2017,12:00,26641,CA ISO
1/3/2017,12:00,3774,NEVP
1/3/2017,12:00,5737,PACE
1/3/2017,12:00,3490,PACW
1/3/2017,12:00,12273,PGE
1/3/2017,12:00,4131,PSEI
1/3/2017,12:00,11901,SCE
1/3/2017,12:00,2398,SDGE
1/3/2017,12:00,69,VEA
1/3/2017,13:00,2808,AZPS
1/3/2017,13:00,26643,CA ISO
1/3/2017,13:00,3716,NEVP
1/3/2017,13:00,5709,PACE
1/3/2017,13:00,3459,PACW
1/3/2017,13:00,12396,PGE
1/3/2017,13:00,4048,PSEI
1/3/2017,13:00,11820,SCE
1/3/2017,13:00,2362,SDGE
1/3/2017,13:00,65,VEA
1/3/2017,14:00,2866,AZPS
1/3/2017,14:00,26791,CA ISO
1/3/2017,14:00,3701,NEVP
1/3/2017,14:00,5701,PACE
1/3/2017,14:00,3441,PACW
1/3/2017,14:00,12512,PGE
1/3/2017,14:00,4010,PSEI
1/3/2017,14:00,11838,SCE
1/3/2017,14:00,2377,SDGE
1/3/2017,14:00,64,VEA
1/3/2017,15:00,2981,AZPS
1/3/2017,15:00,26976,CA ISO
1/3/2017,15:00,3764,NEVP
1/3/2017,15:00,5784,PACE
1/3/2017,15:00,3474,PACW
1/3/2017,15:00,12663,PGE
1/3/2017,15:00,4069,PSEI
1/3/2017,15:00,11801,SCE
1/3/2017,15:00,2446,SDGE
1/3/2017,15:00,66,VEA
1/3/2017,16:00,3253,AZPS
1/3/2017,16:00,27968,CA ISO
1/3/2017,16:00,3986,NEVP
1/3/2017,16:00,6084,PACE
1/3/2017,16:00,3595,PACW
1/3/2017,16:00,13065,PGE
1/3/2017,16:00,4331,PSEI
1/3/2017,16:00,12217,SCE
1/3/2017,16:00,2617,SDGE
1/3/2017,16:00,69,VEA
1/3/2017,17:00,3460,AZPS
1/3/2017,17:00,30055,CA ISO
1/3/2017,17:00,4270,NEVP
1/3/2017,17:00,6198,PACE
1/3/2017,17:00,3803,PACW
1/3/2017,17:00,13877,PGE
1/3/2017,17:00,4677,PSEI
1/3/2017,17:00,13170,SCE
1/3/2017,17:00,2928,SDGE
1/3/2017,17:00,80,VEA
1/3/2017,18:00,3449,AZPS
1/3/2017,18:00,30533,CA ISO
1/3/2017,18:00,4288,NEVP
1/3/2017,18:00,6125,PACE
1/3/2017,18:00,3824,PACW
1/3/2017,18:00,13954,PGE
1/3/2017,18:00,4716,PSEI
1/3/2017,18:00,13519,SCE
1/3/2017,18:00,2979,SDGE
1/3/2017,18:00,81,VEA
1/3/2017,19:00,3392,AZPS
1/3/2017,19:00,29975,CA ISO
1/3/2017,19:00,4262,NEVP
1/3/2017,19:00,6014,PACE
1/3/2017,19:00,3751,PACW
1/3/2017,19:00,13641,PGE
1/3/2017,19:00,4661,PSEI
1/3/2017,19:00,13341,SCE
1/3/2017,19:00,2912,SDGE
1/3/2017,19:00,81,VEA
1/3/2017,20:00,3281,AZPS
1/3/2017,20:00,29238,CA ISO
1/3/2017,20:00,4183,NEVP
1/3/2017,20:00,5793,PACE
1/3/2017,20:00,3666,PACW
1/3/2017,20:00,13187,PGE
1/3/2017,20:00,4542,PSEI
1/3/2017,20:00,13172,SCE
1/3/2017,20:00,2799,SDGE
1/3/2017,20:00,80,VEA
1/3/2017,21:00,3090,AZPS
1/3/2017,21:00,27734,CA ISO
1/3/2017,21:00,4042,NEVP
1/3/2017,21:00,5450,PACE
1/3/2017,21:00,3464,PACW
1/3/2017,21:00,12491,PGE
1/3/2017,21:00,4294,PSEI
1/3/2017,21:00,12558,SCE
1/3/2017,21:00,2608,SDGE
1/3/2017,21:00,77,VEA
1/3/2017,22:00,2876,AZPS
1/3/2017,22:00,25639,CA ISO
1/3/2017,22:00,3847,NEVP
1/3/2017,22:00,5132,PACE
1/3/2017,22:00,3222,PACW
1/3/2017,22:00,11551,PGE
1/3/2017,22:00,3963,PSEI
1/3/2017,22:00,11665,SCE
1/3/2017,22:00,2351,SDGE
1/3/2017,22:00,72,VEA
1/3/2017,23:00,2742,AZPS
1/3/2017,23:00,23656,CA ISO
1/3/2017,23:00,3659,NEVP
1/3/2017,23:00,4941,PACE
1/3/2017,23:00,3019,PACW
1/3/2017,23:00,10634,PGE
1/3/2017,23:00,3670,PSEI
1/3/2017,23:00,10829,SCE
1/3/2017,23:00,2125,SDGE
1/3/2017,23:00,68,VEA
1/4/2017,0:00,2676,AZPS
1/4/2017,0:00,22307,CA ISO
1/4/2017,0:00,3525,NEVP
1/4/2017,0:00,4856,PACE
