Date,load,zone
1/1/18 22:00,22584,CA ISO
1/1/18 22:00,3679,NEVP
1/1/18 22:00,4891,PACE
1/1/18 22:00,2436,PACW
1/1/18 22:00,10253,PGE
1/1/18 22:00,2520,PGE-NEW
1/1/18 22:00,3378,PSEI
1/1/18 22:00,10072,SCE
1/1/18 22:00,2196,SDGE
1/1/18 22:00,63,VEA
1/1/18 23:00,2483,AZPS
1/1/18 23:00,20980,CA ISO
1/1/18 23:00,3524,NEVP
1/1/18 23:00,4732,PACE
1/1/18 23:00,2275,PACW
1/1/18 23:00,9517,PGE
1/1/18 23:00,2315,PGE-NEW
1/1/18 23:00,3120,PSEI
1/1/18 23:00,9396,SCE
1/1/18 23:00,2005,SDGE
1/1/18 23:00,62,VEA
1/2/18 0:00,2442,AZPS
1/2/18 0:00,20094,CA ISO
1/2/18 0:00,3404,NEVP
1/2/18 0:00,4658,PACE
1/2/18 0:00,2183,PACW
1/2/18 0:00,9247,PGE
1/2/18 0:00,2193,PGE-NEW
1/2/18 0:00,2972,PSEI
1/2/18 0:00,8905,SCE
1/2/18 0:00,1880,SDGE
1/2/18 0:00,62,VEA
1/2/18 1:00,2437,AZPS
1/2/18 1:00,19415,CA ISO
1/2/18 1:00,3329,NEVP
1/2/18 1:00,4656,PACE
1/2/18 1:00,2150,PACW
1/2/18 1:00,8969,PGE
1/2/18 1:00,2136,PGE-NEW
1/2/18 1:00,2908,PSEI
1/2/18 1:00,8584,SCE
1/2/18 1:00,1799,SDGE
1/2/18 1:00,63,VEA
1/2/18 2:00,2470,AZPS
1/2/18 2:00,19088,CA ISO
1/2/18 2:00,3294,NEVP
1/2/18 2:00,4667,PACE
1/2/18 2:00,2154,PACW
1/2/18 2:00,8846,PGE
1/2/18 2:00,2125,PGE-NEW
1/2/18 2:00,2905,PSEI
1/2/18 2:00,8414,SCE
1/2/18 2:00,1763,SDGE
1/2/18 2:00,65,VEA
1/2/18 3:00,2575,AZPS
1/2/18 3:00,19116,CA ISO
1/2/18 3:00,3301,NEVP
1/2/18 3:00,4781,PACE
1/2/18 3:00,2195,PACW
1/2/18 3:00,8878,PGE
1/2/18 3:00,2158,PGE-NEW
1/2/18 3:00,2961,PSEI
1/2/18 3:00,8424,SCE
1/2/18 3:00,1746,SDGE
1/2/18 3:00,68,VEA
1/2/18 4:00,2781,AZPS
1/2/18 4:00,19530,CA ISO
1/2/18 4:00,3367,NEVP
1/2/18 4:00,5010,PACE
1/2/18 4:00,2315,PACW
1/2/18 4:00,9013,PGE
1/2/18 4:00,2272,PGE-NEW
