Date,load,zone
1/2/2015 3:00:00 PM,58.00,VEA
1/2/2015 4:00:00 PM,11505.00,PGE
1/2/2015 4:00:00 PM,11146.00,SCE
1/2/2015 4:00:00 PM,2465.00,SDGE
1/2/2015 4:00:00 PM,66.00,VEA
1/2/2015 5:00:00 PM,12846.00,PGE
1/2/2015 5:00:00 PM,12649.00,SCE
1/2/2015 5:00:00 PM,2874.00,SDGE
1/2/2015 5:00:00 PM,79.00,VEA
1/2/2015 6:00:00 PM,13327.00,PGE
1/2/2015 6:00:00 PM,12976.00,SCE
1/2/2015 6:00:00 PM,2950.00,SDGE
1/2/2015 6:00:00 PM,84.00,VEA
1/2/2015 7:00:00 PM,13132.00,PGE
1/2/2015 7:00:00 PM,12884.00,SCE
1/2/2015 7:00:00 PM,2903.00,SDGE
1/2/2015 7:00:00 PM,87.00,VEA
1/2/2015 8:00:00 PM,12847.00,PGE
1/2/2015 8:00:00 PM,12699.00,SCE
1/2/2015 8:00:00 PM,2830.00,SDGE
1/2/2015 8:00:00 PM,89.00,VEA
1/2/2015 9:00:00 PM,12426.00,PGE
1/2/2015 9:00:00 PM,12314.00,SCE
1/2/2015 9:00:00 PM,2694.00,SDGE
1/2/2015 9:00:00 PM,90.00,VEA
1/2/2015 10:00:00 PM,11938.00,PGE
1/2/2015 10:00:00 PM,11677.00,SCE
1/2/2015 10:00:00 PM,2495.00,SDGE
1/2/2015 10:00:00 PM,88.00,VEA
1/2/2015 11:00:00 PM,11201.00,PGE
1/2/2015 11:00:00 PM,10839.00,SCE
1/2/2015 11:00:00 PM,2262.00,SDGE
1/2/2015 11:00:00 PM,86.00,VEA
1/3/2015 12:00:00 AM,10567.00,PGE
1/3/2015 12:00:00 AM,10164.00,SCE
1/3/2015 12:00:00 AM,2077.00,SDGE
1/3/2015 12:00:00 AM,87.00,VEA
1/3/2015 1:00:00 AM,10401.00,PGE
1/3/2015 1:00:00 AM,9715.00,SCE
1/3/2015 1:00:00 AM,1968.00,SDGE
1/3/2015 1:00:00 AM,88.00,VEA
1/3/2015 2:00:00 AM,10188.00,PGE
1/3/2015 2:00:00 AM,9454.00,SCE
1/3/2015 2:00:00 AM,1914.00,SDGE
1/3/2015 2:00:00 AM,90.00,VEA
1/3/2015 3:00:00 AM,10064.00,PGE
1/3/2015 3:00:00 AM,9343.00,SCE
1/3/2015 3:00:00 AM,1890.00,SDGE
1/3/2015 3:00:00 AM,93.00,VEA
1/3/2015 4:00:00 AM,10037.00,PGE
1/3/2015 4:00:00 AM,9402.00,SCE
1/3/2015 4:00:00 AM,1911.00,SDGE
1/3/2015 4:00:00 AM,96.00,VEA
1/3/2015 5:00:00 AM,10314.00,PGE
1/3/2015 5:00:00 AM,9678.00,SCE
1/3/2015 5:00:00 AM,1992.00,SDGE
1/3/2015 5:00:00 AM,102.00,VEA
1/3/2015 6:00:00 AM,10780.00,PGE
1/3/2015 6:00:00 AM,10120.00,SCE
1/3/2015 6:00:00 AM,2117.00,SDGE
1/3/2015 6:00:00 AM,108.00,VEA
1/3/2015 7:00:00 AM,10924.00,PGE
1/3/2015 7:00:00 AM,10045.00,SCE
1/3/2015 7:00:00 AM,2187.00,SDGE
1/3/2015 7:00:00 AM,111.00,VEA
1/3/2015 8:00:00 AM,11085.00,PGE
1/3/2015 8:00:00 AM,10167.00,SCE
1/3/2015 8:00:00 AM,2252.00,SDGE
1/3/2015 8:00:00 AM,102.00,VEA
1/3/2015 9:00:00 AM,11167.00,PGE
1/3/2015 9:00:00 AM,10208.00,SCE
1/3/2015 9:00:00 AM,2261.00,SDGE
1/3/2015 9:00:00 AM,90.00,VEA
1/3/2015 10:00:00 AM,10992.00,PGE
1/3/2015 10:00:00 AM,10174.00,SCE
1/3/2015 10:00:00 AM,2226.00,SDGE
1/3/2015 10:00:00 AM,79.00,VEA
1/3/2015 11:00:00 AM,10769.00,PGE
