Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
E,2019,E0252,Ameresco Forward LLC,Unit 1,OP,2/22/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,16330,157629,LFG,0,UNK
E,2019,E0252,Ameresco Forward LLC,Unit 2,OP,2/22/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,16805,159631,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),1,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,14752,148510,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),2,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,14963,156766,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),3,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,15079,151587,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),4,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,13057,132945,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),5,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,14405,146205,LFG,0,UNK
E,2019,E0218,Ameresco Half Moon Bay (Ox Mountain Landfill),6,OP,4/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.91,14698,152202,LFG,0,UNK
E,2019,E0255,Ameresco Johnson Canyon,Unit 1,OP,11/23/2012,,IC,"Internal Combustion Engine (diesel, piston)",2.16,10422,111409,LFG,0,UNK
E,2019,E0217,Ameresco Keller Canyon,Unit 1,OP,9/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.92,14639,148574,LFG,0,UNK
E,2019,E0217,Ameresco Keller Canyon,Unit 2,OP,9/1/2009,,IC,"Internal Combustion Engine (diesel, piston)",1.92,15242,156796,LFG,0,UNK
E,2019,E0253,Ameresco San Joaquin LLC,Unit 1,OP,4/24/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,14988,148638,LFG,0,UNK
E,2019,E0253,Ameresco San Joaquin LLC,Unit 2,OP,4/24/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,15666,154897,LFG,0,UNK
E,2019,E0214,Ameresco Santa Cruz Energy,Unit 1,OP,2/2/2006,,IC,"Internal Combustion Engine (diesel, piston)",1.06,6191,75800,LFG,0,UNK
E,2019,E0214,Ameresco Santa Cruz Energy,Unit 2,OP,2/2/2006,,IC,"Internal Combustion Engine (diesel, piston)",1.06,6043,74461,LFG,0,UNK
E,2019,E0214,Ameresco Santa Cruz Energy,Unit 3,OP,2/2/2006,,IC,"Internal Combustion Engine (diesel, piston)",1.06,6468,77105,LFG,0,UNK
E,2019,E0071,Ameresco Vasco Road LLC,Unit 1,OP,2/22/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,16268,162049,LFG,0,UNK
E,2019,E0071,Ameresco Vasco Road LLC,Unit 2,OP,2/22/2014,,IC,"Internal Combustion Engine (diesel, piston)",2.17,16893,166106,LFG,0,UNK
S,2019,S9110,Amir Development Company,1,OP,1/1/2012,,PV,Photovoltaic,1.1,1847,0,SUN,0,N/A
S,2019,S9211,Amy Solar LLC,Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
G,2019,G0026,Anaheim CT,1,SB,4/1/1991,,GT,Combustion (gas) Turbine,49.27,22235.1,210335,NG,0,UNK
G,2019,G0034,Andeavor Los Angeles Refinery,GEN 2,OS,6/1/1984,,OT,Other (Explain in Notes),12,0.12,0.09,WH,0,UNK
H,2019,H0008,Angels,5505380,OP,1/1/1940,,HY,Hydraulic Turbine (conventional),1.4,6389,0,WAT,0,UNK
S,2019,S9137,Angels PH Utica Power Authority,1,OP,1/1/2012,,PV,Photovoltaic,1.8,2838,0,SUN,0,N/A
S,2019,S9074,Anheuser Busch Fairfield PV Phase/Anheuser Busch,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
S,2019,S9148,ANHEUSER BUSCH INC,1,OP,1/1/2012,,PV,Photovoltaic,2.5,4054,0,SUN,0,N/A
W,2019,W0398,Anheuser-Busch,WPRS 1,OP,11/1/2011,,WT,Wind Turbine,1.5,2728.86,0,WND,0,N/A
W,2019,W0456,Anheuser-Busch #2,WPRS 1,OP,12/31/1989,,WT,Wind Turbine,1.6,3674.75,0,WND,0,N/A
S,2019,S9212,Annie Power LLC,Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
S,2019,S0548,Antelope Big Sky Ranch,Unit 1,OP,8/19/2016,,PV,Photovoltaic,20,55178,0,SUN,0,N/A
